archivo,d_ij,d_t,ratio
input/medium_9.csv,0.7,1.01388,0.690414
input/medium_9.csv,0.2,0.70811,0.282442
input/medium_9.csv,3.3,4.45787,0.740264
input/medium_9.csv,0.4,1.12654,0.35507
input/medium_9.csv,1.6,1.77027,0.903815
input/medium_9.csv,0.8,1.40013,0.571377
input/medium_9.csv,0.9,0.820763,1.09654
input/medium_9.csv,1.4,2.89681,0.48329
input/medium_9.csv,9.4,17.5418,0.535863
input/medium_9.csv,0.4,0.869044,0.460276
input/medium_9.csv,1.2,0.90123,1.33151
input/medium_9.csv,0.5,1.28747,0.388358
input/medium_9.csv,0.2,2.39792,0.0834057
input/medium_9.csv,0.1,1.65762,0.0603275
input/medium_9.csv,1.9,5.00505,0.379617
input/medium_9.csv,4,1.44841,2.76166
input/medium_9.csv,1.4,3.02556,0.462724
input/medium_9.csv,11.7,11.3298,1.03268
input/medium_9.csv,7.6,5.10161,1.48973
input/medium_9.csv,3.4,3.29915,1.03057
input/medium_9.csv,0.2,3.70148,0.0540324
input/medium_9.csv,2.8,2.10824,1.32812
input/medium_9.csv,1.5,4.53834,0.330517
input/medium_9.csv,1.3,1.44841,0.897538
input/medium_9.csv,6.4,7.20984,0.887675
input/medium_9.csv,3.7,4.82802,0.76636
input/medium_9.csv,0.5,0.80467,0.621373
input/medium_9.csv,0.4,0.949511,0.42127
input/medium_9.csv,5.5,4.82802,1.13918
input/medium_9.csv,0.3,0.482802,0.621373
input/medium_9.csv,3.8,3.70148,1.02662
input/medium_9.csv,1.6,1.12654,1.42028
input/medium_9.csv,6.9,5.19817,1.32739
input/medium_9.csv,6.1,4.82802,1.26346
input/medium_9.csv,1.6,2.73588,0.584821
input/medium_9.csv,0.1,1.44841,0.0690414
input/medium_9.csv,2,1.43231,1.39634
input/medium_9.csv,5.5,3.6532,1.50553
input/medium_9.csv,1,3.33133,0.30018
input/medium_9.csv,0.5,0.997791,0.501107
input/medium_9.csv,0.9,1.54497,0.582537
input/medium_9.csv,10.4,14.4197,0.721236
input/medium_9.csv,17.1,34.2789,0.498849
input/medium_9.csv,5.7,32.8144,0.173704
input/medium_9.csv,5.3,4.82802,1.09776
input/medium_9.csv,0.1,2.22089,0.045027
input/medium_9.csv,0.4,0.643736,0.621373
input/medium_9.csv,3,3.63711,0.824831
input/medium_9.csv,0.9,1.12654,0.798908
input/medium_9.csv,2.6,2.09214,1.24275
input/medium_9.csv,1,2.05996,0.485447
input/medium_9.csv,7.3,7.72483,0.945004
input/medium_9.csv,0.8,1.65762,0.48262
input/medium_9.csv,2.6,8.46513,0.307142
input/medium_9.csv,0.4,2.25308,0.177535
input/medium_9.csv,2.3,7.5639,0.304076
input/medium_9.csv,1.4,1.28747,1.0874
input/medium_9.csv,0.6,2.73588,0.219308
input/medium_9.csv,0.9,1.28747,0.699044
input/medium_9.csv,0.1,0.80467,0.124275
input/large_0.csv,8.1,16.5762,0.488652
input/large_0.csv,15.8,9.33417,1.69271
input/large_0.csv,2,2.99337,0.668143
input/large_0.csv,2.2,6.13159,0.358798
input/large_0.csv,19.2,12.0701,1.59071
input/large_0.csv,0.1,0.80467,0.124275
input/large_0.csv,14.1,9.5112,1.48246
input/large_0.csv,1.3,1.38403,0.939284
input/large_0.csv,3.2,5.66488,0.564884
input/large_0.csv,0.3,1.93121,0.155343
input/large_0.csv,0.3,1.99558,0.150332
input/large_0.csv,0.2,3.4118,0.0586201
input/large_0.csv,0.2,1.30357,0.153425
input/large_0.csv,1,2.09214,0.477979
input/large_0.csv,0.3,2.89681,0.103562
input/large_0.csv,7.9,7.59608,1.04001
input/large_0.csv,4.4,3.04165,1.44658
input/large_0.csv,1.9,2.83244,0.6708
input/large_0.csv,0.4,3.15431,0.126811
input/large_0.csv,6.1,6.42127,0.949968
input/large_0.csv,0.5,1.49669,0.334071
input/large_0.csv,17,8.69044,1.95617
input/large_0.csv,0.3,3.07384,0.0975978
input/large_0.csv,1.9,3.46008,0.54912
input/large_0.csv,15.5,10.6699,1.45268
input/large_0.csv,1.4,2.49448,0.56124
input/large_0.csv,0.9,1.60934,0.559235
input/large_0.csv,0.3,1.99558,0.150332
input/large_0.csv,0.6,1.60934,0.372824
input/large_0.csv,0.5,6.11549,0.0817596
input/large_0.csv,2.8,3.18649,0.878709
input/large_0.csv,18.6,15.7233,1.18296
input/large_0.csv,3.6,3.02556,1.18986
input/large_0.csv,18.1,18.1,1
input/large_0.csv,1.6,2.41401,0.662798
input/large_0.csv,0.3,2.25308,0.133151
input/large_0.csv,0.6,1.12654,0.532605
input/large_0.csv,0.4,2.62322,0.152484
input/large_0.csv,0.9,3.21868,0.279618
input/large_0.csv,0.1,1.02998,0.0970895
input/large_0.csv,0.7,1.93121,0.362467
